Chegada,Status,Porto,Sentido,Peso,Quantidade
22/03/2025 06:00:00,LASH,PORTO_DE_SANTOS,Exp,1,1
22/03/2025 13:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,15300 1530,1
22/03/2025 19:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,15300 1530,1
23/02/2025,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp; Imp/Exp,1800 1800; 1800 1800,2
23/02/2025,ROLL-IN-ROLL-OFF,PORTO_DE_SANTOS,Exp; Imp/Exp,9800; 9800 18,2
23/02/2025 02:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 1800,1
23/02/2025 05:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 27000,1
23/02/2025 07:00:00,SEM PRIORIDADE,PORTO_DE_SANTOS,Exp,21600,1
23/02/2025 08:00:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,69400,1
23/02/2025 11:00:00,CONTEINERES,PORTO_DE_SANTOS,Exp,12834,1
23/02/2025 12:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 1800,1
23/02/2025 14:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp; Imp/Exp,7200 7200; 1800 1800,2
23/02/2025 18:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 1800,1
23/02/2025 18:00:00,SEM PRIORIDADE,PORTO_DE_SANTOS,Imp,1899,1
23/03/2025 01:00:00,CONTEINERES,PORTO_DE_SANTOS,Exp,15300,1
23/03/2025 02:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 1800,1
23/03/2025 06:00:00,LASH,PORTO_DE_SANTOS,Exp,1,1
23/03/2025 14:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 1800,1
24/01/2025 22:48:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,63000,1
24/02/2025,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp; Imp/Exp,1800 1800; 27000 1800,2
24/02/2025,ROLL-IN-ROLL-OFF,PORTO_DE_SANTOS,Exp,9800,1
24/02/2025 07:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp; Imp/Exp,4500 6300; 3600 10800,2
24/02/2025 12:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp; Imp/Exp,1800 1800; 1800 1800,2
25/02/2025,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 1800,1
25/02/2025 04:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 1800,1
25/02/2025 06:00:00,LASH,PORTO_DE_SANTOS,Exp,1,1
25/02/2025 08:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 1800,1
25/03/2025 08:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 1800,1
26/02/2025,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp; Imp/Exp,12600 4500; 1800 1800,2
26/02/2025 02:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 1800,1
26/02/2025 07:00:00,CABOTAGEM,PORTO_DE_SANTOS,Exp,386,1
26/02/2025 07:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,5400 3600,1
26/02/2025 08:00:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,62060,1
26/02/2025 12:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 1800,1
27/02/2025 01:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 1800,1
27/02/2025 01:01:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 1800,1
27/02/2025 07:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,4536 360,1
27/02/2025 07:00:00,SEM PRIORIDADE,PORTO_DE_SANTOS,Exp,58000,1
27/02/2025 13:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,17370 360,1
27/02/2025 16:18:00,LIQUIDO A GRANEL,PORTO_DE_SANTOS,Imp,15000,1
