Chegada,Status,Porto,Sentido,Peso,Quantidade
20/02/2025 20:00,ESPERADOS,PORTO_DE_PARANAGUA,Exp; Exp; Exp,"63.000,000 Tons.; 68.000,000 Tons.; 15.000,000 Tons.",3
20/02/2026 06:00,ESPERADOS,PORTO_DE_PARANAGUA,Exp,"0,000 Tons.",1
20/03/2025 12:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp/Exp,1.050 Movs.,1
21/02/2025 07:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp/Exp; Imp/Exp; Imp/Exp,600 Movs.; 600 Movs.; 600 Movs.,3
21/02/2025 08:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp; Exp,"2.359,000 Tons.; 8.927,000 Tons.",2
21/02/2025 10:00,ESPERADOS,PORTO_DE_PARANAGUA,Exp,"63.000,000 Tons.",1
21/02/2025 19:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp/Exp,500 Movs.,1
21/12/2024 04:30,ATRACADOS,PORTO_DE_PARANAGUA,Imp; Imp,"15.000,000 Tons.; 53.223,000 Tons.",2
22/01/2025 11:24,DESPACHADOS,PORTO_DE_PARANAGUA,Exp,"69.620,000 Tons.",1
22/02/2025 08:00,ESPERADOS,PORTO_DE_PARANAGUA,Exp; Imp; Imp,"69.550,000 Tons.; 21.700,000 Tons.; 3.300,000 Tons.",3
22/02/2025 12:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp,"25.000,000 Tons.",1
22/02/2025 19:00,ESPERADOS,PORTO_DE_PARANAGUA,Exp,"12.000,000 Tons.",1
22/02/2025 20:00,ESPERADOS,PORTO_DE_PARANAGUA,Exp,"69.300,000 Tons.",1
22/03/2027 06:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp,"0,000 Tons.",1
22/12/2025 06:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp/Exp,"0,000 Tons.",1
23/01/2025 11:00,AO LARGO,PORTO_DE_PARANAGUA,Imp,"58.606,000 Tons.",1
23/01/2025 13:48,AO LARGO,PORTO_DE_PARANAGUA,Imp,"68.000,000 Tons.",1
23/02/2025 01:00,ESPERADOS,PORTO_DE_PARANAGUA,Exp,"60.000,000 Tons.",1
23/02/2025 05:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp/Exp,500 Movs.,1
23/02/2025 08:00,ESPERADOS,PORTO_DE_PARANAGUA,Exp,"8.000,000 Tons.",1
24/02/2025 07:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp; Imp/Exp; Exp; Exp,"52.500,000 Tons.; 5.000,000 Tons.; 25.076,000 Tons.; 60.000,000 Tons.",4
24/02/2025 08:00,ESPERADOS,PORTO_DE_PARANAGUA,Exp; Exp,"10.000,000 Tons.; 1.500,000 Tons.",2
24/02/2025 18:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp/Exp,1.300 Movs.,1
25/02/2025 02:00,ESPERADOS,PORTO_DE_PARANAGUA,Exp,"65.000,000 Tons.",1
25/02/2025 06:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp,"32.000,000 Tons.",1
25/02/2025 08:00,ESPERADOS,PORTO_DE_PARANAGUA,Exp; Imp/Exp,"57.750,000 Tons.; 500 Movs.",2
25/02/2025 12:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp/Exp,1.050 Movs.,1
25/02/2025 13:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp/Exp,1.050 Movs.,1
25/02/2025 20:00,ESPERADOS,PORTO_DE_PARANAGUA,Exp; Exp,"10.000,000 Tons.; 60.000,000 Tons.",2
26/02/2025 01:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp/Exp,1.000 Movs.,1
26/02/2025 05:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp/Exp,315 Movs.,1
26/02/2025 10:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp,"27.500,000 Tons.",1
26/02/2025 13:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp/Exp,500 Movs.,1
26/02/2025 21:00,ESPERADOS,PORTO_DE_PARANAGUA,Exp,"7.000,000 Tons.",1
27/01/2025 20:12,AO LARGO,PORTO_DE_PARANAGUA,Imp; Imp,"14.999,000 Tons.; 14.999,000 Tons.",2
27/02/2025 07:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp; Imp/Exp; Imp/Exp,"45.350,000 Tons.; 750 Movs.; 3.659,000 Tons.",3
27/02/2025 08:00,ESPERADOS,PORTO_DE_PARANAGUA,Exp,"63.000,000 Tons.",1
27/02/2025 09:00,ESPERADOS,PORTO_DE_PARANAGUA,Exp,"55.000,000 Tons.",1
27/02/2025 12:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp/Exp; Imp; Imp/Exp; Imp/Exp,"800 Movs.; 52.498,000 Tons.; 1.050 Movs.; 1.050 Movs.",4
27/02/2025 15:00,ESPERADOS,PORTO_DE_PARANAGUA,Exp,"69.000,000 Tons.",1
27/02/2025 17:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp/Exp,500 Movs.,1
27/02/2025 20:00,ESPERADOS,PORTO_DE_PARANAGUA,Exp,"68.950,000 Tons.",1
27/02/2025 21:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp/Exp,1.300 Movs.,1
27/12/2024 16:00,DESPACHADOS,PORTO_DE_PARANAGUA,Imp; Imp,"17.961,000 Tons.; 15.900,000 Tons.",2
28/01/2025 03:00,AO LARGO,PORTO_DE_PARANAGUA,Imp; Imp; Imp,"12.550,000 Tons.; 12.550,000 Tons.; 3.700,000 Tons.",3
28/01/2025 11:30,AO LARGO,PORTO_DE_PARANAGUA,Imp; Imp,"58.200,000 Tons.; 10.600,000 Tons.",2
28/01/2025 23:42,AO LARGO,PORTO_DE_PARANAGUA,Exp,"62.500,000 Tons.",1
28/02/2025 00:01,ESPERADOS,PORTO_DE_PARANAGUA,Exp,"60.000,000 Tons.",1
28/02/2025 06:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp,"4.720,000 Tons.",1
28/02/2025 07:00,ESPERADOS,PORTO_DE_PARANAGUA,Exp,"19.000,000 Tons.",1
28/02/2025 08:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp,"10.000,000 Tons.",1
28/02/2025 09:00,ESPERADOS,PORTO_DE_PARANAGUA,Exp; Exp,"63.500,000 Tons.; 61.500,000 Tons.",2
28/02/2025 12:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp/Exp; Imp/Exp,1.050 Movs.; 1.050 Movs.,2
28/03/2025 08:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp/Exp,"237,000 Tons.",1
29/01/2025 19:00,DESPACHADOS,PORTO_DE_PARANAGUA,Exp,"62.244,000 Tons.",1
31/01/2025 04:24,ATRACADOS,PORTO_DE_PARANAGUA,Imp,"27.650,000 Tons.",1
31/01/2025 10:18,AO LARGO,PORTO_DE_PARANAGUA,Exp,"63.000,000 Tons.",1
31/12/2024 01:24,AO LARGO,PORTO_DE_PARANAGUA,Exp,"72.370,000 Tons.",1
