Mercadoria,Status,Porto,Sentido,Chegada,Quantidade
METANOL,DESPACHADOS,PORTO_DE_PARANAGUA,Imp,04/02/2025 13:00,1
METANOL,ESPERADOS,PORTO_DE_PARANAGUA,Imp; Imp; Imp; Imp,11/03/2025 12:00; 10/03/2025 08:00; 03/03/2025 12:00; 18/02/2025 07:00,4
METANOL,PROGRAMADOS,PORTO_DE_PARANAGUA,Imp,,1
METILATO DE SODIO,ESPERADOS,PORTO_DE_PARANAGUA,Imp,04/03/2025 19:00,1
MILHO,AO LARGO,PORTO_DE_PARANAGUA,Exp,07/02/2025 14:00,1
MILHO,PROGRAMADOS,PORTO_DE_PARANAGUA,Exp,05/02/2025 00:30,1
NAFTAS PARA PETROQUIMICA,ESPERADOS,PORTO_DE_PARANAGUA,Imp,28/02/2025 06:00,1
OLEO COMBUSTIVEL,LIQUIDO A GRANEL,PORTO_DE_SANTOS,Exp; Exp; Exp; Exp,16/02/2025 09:00:00; 17/02/2025; 17/02/2025; 19/02/2025 11:48:00,4
OLEO DE SOJA,ATRACADOS,PORTO_DE_PARANAGUA,Exp,16/02/2025 22:18,1
OLEO DE SOJA,ESPERADOS,PORTO_DE_PARANAGUA,Exp; Exp; Exp; Exp; Exp,26/02/2025 21:00; 25/02/2025 20:00; 24/02/2025 08:00; 22/02/2025 19:00; 20/02/2025 20:00,5
OLEO DIESEL,AO LARGO,PORTO_DE_PARANAGUA,Imp,08/02/2025 08:30,1
OLEO DIESEL,AO LARGO PARA REATRACAÇÃO,PORTO_DE_PARANAGUA,Imp,16/01/2025 14:42,1
OLEO DIESEL,ESPERADOS,PORTO_DE_PARANAGUA,Imp; Imp; Imp; Imp; Imp,27/02/2025 07:00; 25/02/2025 06:00; 22/02/2025 12:00; 19/02/2025 12:00; 18/02/2025 07:00,5
OLEO DIESEL,LIQUIDO A GRANEL,PORTO_DE_SANTOS,Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Imp; Imp,29/01/2025 14:15:00; 06/02/2025 15:18:00; 15/02/2025 15:30:00; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025 04:00:00; 18/02/2025 05:00:00; 19/02/2025 05:00:00,14
OLEO DIESEL,PROGRAMADOS,PORTO_DE_PARANAGUA,Imp,17/02/2025 13:30,1
OLEO VEGETAL,LIQUIDO A GRANEL,PORTO_DE_SANTOS,Exp,16/02/2025 03:00:00,1
OLEO VEGETAL,SEM PRIORIDADE,PORTO_DE_SANTOS,Imp,23/02/2025 18:00:00,1
OLEOS BRUTOS DE PETROLEO,ESPERADOS,PORTO_DE_PARANAGUA,Imp,20/02/2025 08:00,1
OUT.TRIGOS E MISTURAS DE TRIGO,PROGRAMADOS,PORTO_DE_PARANAGUA,Imp,11/02/2025 02:48,1
OUTRAS MADEIRAS SERRADAS/CORTA,ESPERADOS,PORTO_DE_PARANAGUA,Exp,06/03/2025 08:00,1
OUTROS,PRIORIDADE C5,PORTO_DE_SANTOS,Exp; Exp; Exp; Exp,17/01/2025 05:48:00; 17/02/2025; 17/02/2025; 17/02/2025,4
OUTROS OLEOS DE DENDE,ESPERADOS,PORTO_DE_PARANAGUA,Imp; Imp,07/03/2025 20:00; 20/02/2025 19:00,2
OUTS.ACUCARES,ESPERADOS,PORTO_DE_PARANAGUA,Exp,24/02/2025 07:00,1
OUTS.CARREGADORAS/PAS-CARREGAD,ATRACADOS,PORTO_DE_PARANAGUA,Imp/Exp,15/02/2025 06:00,1
"OUTS.MAD.COMP.FOLHEADA,ESPESS.",ESPERADOS,PORTO_DE_PARANAGUA,Exp,06/03/2025 08:00,1
"OUTS.PAPEIS/CARTOES ""KRAFTLINE",ESPERADOS,PORTO_DE_PARANAGUA,Exp,06/03/2025 08:00,1
PAPEL E CELULOSE,CABOTAGEM,PORTO_DE_SANTOS,Exp; Exp,17/02/2025; 17/02/2025,2
PAPEL E CELULOSE,PRIORIDADE C5,PORTO_DE_SANTOS,Exp; Exp,17/02/2025; 17/02/2025,2
PAPEL E CELULOSE,SEM PRIORIDADE,PORTO_DE_SANTOS,Exp; Exp; Exp; Exp,06/02/2025 00:29:00; 17/02/2025; 18/02/2025 06:00:00; 27/02/2025 07:00:00,4
PASSAGEIROS,ESPERADOS,PORTO_DE_PARANAGUA,Imp; Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp,22/03/2027 06:00; 20/02/2026 06:00; 08/02/2026 06:00; 22/12/2025 06:00; 28/03/2025 08:00; 18/02/2025 07:00,6
PASTA QUIM.MADEIRA DE N/CONIF.,DESPACHADOS,PORTO_DE_PARANAGUA,Exp,16/02/2025 08:00,1
PASTA QUIM.MADEIRA DE N/CONIF.,ESPERADOS,PORTO_DE_PARANAGUA,Exp; Exp,24/02/2025 08:00; 23/02/2025 08:00,2
PELLETS A GRANEL,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp; Exp; Exp; Exp,14/02/2025 11:30:00; 15/02/2025 08:00:00; 17/02/2025 15:00:00; 26/02/2025 08:00:00,4
PRODUTOS SIDERURGICOS PRODUTOS SIDERURGICOS,SEM PRIORIDADE,PORTO_DE_SANTOS,Imp/Exp,20/02/2025,1
"REATORES NUCLEARES, CALDEIRAS,",ESPERADOS,PORTO_DE_PARANAGUA,Imp/Exp; Imp/Exp; Imp/Exp,10/04/2025 07:00; 27/02/2025 07:00; 19/02/2025 07:00,3
SAL A GRANEL,GRANEIS SOLIDOS - IMPORTACAO,PORTO_DE_SANTOS,Imp,18/02/2025 05:00:00,1
SAL MARINHO,ESPERADOS,PORTO_DE_PARANAGUA,Imp,28/02/2025 08:00,1
"SEBO BOVINO,EM BRUTO",ESPERADOS,PORTO_DE_PARANAGUA,Exp,21/02/2025 08:00,1
SODA CAUSTICA,LIQUIDO A GRANEL,PORTO_DE_SANTOS,Imp,18/02/2025 13:00:00,1
SODA CÁUSTICA,DESPACHADOS,PORTO_DE_PARANAGUA,Imp,12/02/2025 22:15,1
SODA CÁUSTICA,ESPERADOS,PORTO_DE_PARANAGUA,Imp,20/02/2025 19:00,1
SOJA,AO LARGO,PORTO_DE_PARANAGUA,Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp,17/02/2025 00:01; 17/02/2025 00:01; 15/02/2025 07:00; 15/02/2025 01:48; 15/02/2025 20:00; 12/02/2025 16:00; 12/02/2025 03:30; 31/12/2024 01:24; 11/02/2025 14:30; 11/02/2025 04:18; 10/02/2025 11:36; 07/02/2025 00:01; 05/02/2025 10:07; 01/02/2025 00:01; 31/01/2025 10:18; 28/01/2025 23:42; 19/12/2024 12:30,17
SOJA,ATRACADOS,PORTO_DE_PARANAGUA,Exp; Exp; Exp; Exp,12/02/2025 17:15; 08/02/2025 08:01; 02/02/2025 14:12; 02/02/2025 10:00,4
