Chegada,Status,Porto,Sentido,Quantidade
20/02/2025 06:00:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,1
20/02/2025 06:00:00,LASH,PORTO_DE_SANTOS,Exp; Exp,2
20/02/2025 06:00:00,LIQUIDO A GRANEL,PORTO_DE_SANTOS,Exp,1
20/02/2025 06:00:00,SEM PRIORIDADE,PORTO_DE_SANTOS,Exp,1
20/02/2025 07:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp/Exp,1
20/02/2025 07:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp; Imp/Exp,2
20/02/2025 07:00:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,1
20/02/2025 07:00:00,GRANEIS SOLIDOS - IMPORTACAO,PORTO_DE_SANTOS,Imp,1
20/02/2025 07:00:00,SEM PRIORIDADE,PORTO_DE_SANTOS,Imp,1
20/02/2025 08:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp; Imp,2
20/02/2025 08:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp,1
20/02/2025 10:00,ESPERADOS,PORTO_DE_PARANAGUA,Exp,1
20/02/2025 10:00:00,GRANEIS SOLIDOS - IMPORTACAO,PORTO_DE_SANTOS,Imp,1
20/02/2025 12:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1
20/02/2025 15:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp; Imp/Exp,2
20/02/2025 19:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp/Exp; Imp; Imp,3
20/02/2025 20:00,ESPERADOS,PORTO_DE_PARANAGUA,Exp; Exp; Exp,3
20/02/2025 22:00:00,GRANEIS SOLIDOS - EXPORTACAO,PORTO_DE_SANTOS,Exp,1
20/02/2026 06:00,ESPERADOS,PORTO_DE_PARANAGUA,Exp,1
20/03/2025 02:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1
20/03/2025 12:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp/Exp,1
20/03/2025 20:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1
21/01/2025 16:12:00,GRANEIS SOLIDOS - IMPORTACAO,PORTO_DE_SANTOS,Imp,1
21/02/2025 01:00:00,ROLL-IN-ROLL-OFF,PORTO_DE_SANTOS,Imp/Exp; Imp/Exp,2
21/02/2025 03:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1
21/02/2025 07:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp/Exp; Imp/Exp; Imp/Exp,3
21/02/2025 07:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp,1
21/02/2025 08:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp; Exp,2
21/02/2025 08:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp; Imp/Exp,2
21/02/2025 08:00:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,1
